Game Title                                    Console                                                               Publisher                               VGChartz Score    Critic Score    User Score    Total Shipped    Release Date    Last Update    genre
Marvel's Spider-Man                           /games/boxart/full_16750AmericaFrontccc.jpg                           Sony Interactive Entertainment          N/A               N/A             N/A           33.00m           07th Sep 18     08th Jan 23    Action-Adventure
Half-life                                     /games/boxart/full_8891851AmericaFrontccc.jpg                         Valve                                   N/A               N/A             N/A           33.10m           19th Nov 98     19th Feb 20    Shooter
James Bond                                    /games/boxart/full_1105403AmericaFrontccc.jpg                         Parker Bros.                            N/A               N/A             N/A           30.00m           01st Jan 83     08th Mar 20    Action-Adventure
Pokémon Red / Green / Blue Version            /games/boxart/full_6442337AmericaFrontccc.png                         Nintendo                                N/A               9.4             N/A           31.38m           30th Sep 98     N/A            Role-Playing
Football Manager                              /games/boxart/full_9222919AmericaFrontccc.png                         Sega                                    N/A               N/A             N/A           33.33m           05th Nov 04     07th Feb 20    Simulation
Wii Sports Resort                             /games/boxart/full_7295041AmericaFrontccc.jpg                         Nintendo                                8.8               8.0             8.8           33.14m           26th Jul 09     N/A            Sports
Minecraft                                     /games/boxart/full_minecraft_1AmericaFront.png                        Mojang                                  8.8               10.0            N/A           33.15m           10th May 10     05th Aug 18    Misc
NBA Live                                      /games/boxart/full_5143352AmericaFrontccc.jpg                         EA Sports                               N/A               N/A             N/A           35.00m           01st Oct 94     24th Feb 20    Sports
Brain Age                                     /games/boxart/full_7634300AmericaFrontccc.jpg                         Nintendo                                N/A               N/A             N/A           35.09m           16th Apr 06     20th Feb 20    Puzzle
Souls                                         /games/boxart/full_2022224AmericaFrontccc.jpg                         Bandai Namco Entertainment              N/A               N/A             N/A           35.80m           06th Oct 09     17th Feb 20    Role-Playing
Dark Souls                                    /games/boxart/full_8994911AmericaFrontccc.jpg                         Bandai Namco Entertainment              N/A               N/A             N/A           33.40m           04th Oct 11     22nd Oct 22    Role-Playing
Tom Clancy's Rainbow Six                      /games/boxart/full_9670934AmericaFrontccc.jpg                         Ubisoft                                 N/A               N/A             N/A           36.00m           21st Aug 98     10th Feb 20    Shooter
PLAYERUNKNOWN'S BATTLEGROUNDS                 /games/boxart/full_8052843AmericaFrontccc.jpg                         PUBG Corporation                        N/A               N/A             N/A           36.60m           21st Dec 17     29th Apr 19    Shooter
The Last of Us                                /games/boxart/full_3923196AmericaFrontccc.jpg                         Sony Interactive Entertainment          N/A               N/A             N/A           37.00m           14th Jun 13     02nd Mar 20    Action-Adventure
Kingdom Hearts                                /games/boxart/full_221036AmericaFrontccc.jpg                          Square Enix                             N/A               N/A             N/A           36.00m           17th Sep 02     27th Feb 20    Role-Playing
Tom Clancy's Ghost Recon                      /games/boxart/full_9251687AmericaFrontccc.jpg                         Ubisoft                                 N/A               N/A             N/A           35.00m           13th Nov 01     12th Mar 20    Shooter
Medal of Honor                                /games/boxart/full_702042AmericaFrontccc.jpg                          Electronic Arts                         N/A               N/A             N/A           39.00m           31st Oct 99     24th Feb 20    Shooter
The Witcher 3: Wild Hunt                      /games/boxart/full_3930956AmericaFrontccc.jpg                         Warner Bros. Interactive Entertainment  N/A               N/A             N/A           40.00m           18th May 15     29th Oct 20    Role-Playing
Guitar Hero                                   /games/boxart/full_2714227AmericaFrontccc.jpg                         Activision                              N/A               N/A             N/A           40.00m           08th Nov 05     05th Mar 20    Music
Mega Man                                      /games/boxart/full_6885786AmericaFrontccc.png                         Capcom                                  N/A               N/A             N/A           38.00m           17th Dec 87     03rd Feb 20    Platform
Super Mario Bros.                             /games/boxart/8972270ccc.jpg                                          Nintendo                                N/A               10.0            8.2           40.24m           18th Oct 85     N/A            Platform
World of WarCraft                             /games/boxart/full_7858118AmericaFrontccc.jpg                         Blizzard Entertainment                  N/A               N/A             N/A           40.60m           23rd Nov 04     20th Mar 20    MMO
Spider-Man                                    /games/boxart/full_9139038AmericaFrontccc.jpg                         Parker Brothers                         N/A               N/A             N/A           41.00m           01st Jan 82     12th Mar 20    Action-Adventure
Mario Kart Wii                                /games/boxart/full_8932480AmericaFrontccc.jpg                         Nintendo                                8.7               8.2             9.1           37.38m           27th Apr 08     11th Apr 18    Racing
Counter-Strike: Global Offensive              /games/boxart/full_3053446AmericaFrontccc.jpg                         Valve                                   N/A               N/A             N/A           40.00m           21st Aug 12     26th Mar 19    Shooter
Animal Crossing: New Horizons                 /games/boxart/full_5208890AmericaFrontccc.jpg                         Nintendo                                8.0               N/A             N/A           41.59m           20th Mar 20     11th Apr 20    Simulation
Total War                                     /games/boxart/full_9133566AmericaFrontccc.png                         Sega                                    N/A               N/A             N/A           42.15m           13th Jun 00     07th Feb 20    Strategy
Star Wars: Battlefront                        /games/boxart/full_1870948AmericaFrontccc.jpg                         LucasArts                               N/A               N/A             N/A           43.00m           21st Sep 04     24th Feb 20    Shooter
Wii Fit                                       /games/boxart/full_4140328AmericaFrontccc.jpg                         Nintendo                                N/A               N/A             N/A           43.80m           21st May 08     19th Feb 20    Misc
Uncharted                                     /games/boxart/full_2491344AmericaFrontccc.png                         Sony Interactive Entertainment          N/A               N/A             N/A           44.25m           20th Nov 07     15th Feb 20    Shooter
Terraria                                      /games/boxart/full_9847529AmericaFrontccc.jpg                         Re-Logic                                N/A               N/A             N/A           44.50m           16th May 11     10th Oct 20    Platform
Terraria                                      /games/boxart/full_7749058AmericaFrontccc.jpg                         505 Games                               N/A               N/A             N/A           44.50m           16th May 11     07th Mar 20    Action-Adventure
Fallout                                       /games/boxart/full_7478122AmericaFrontccc.jpg                         Bethesda Softworks                      N/A               N/A             N/A           46.43m           10th Oct 97     07th Mar 20    Role-Playing
BioShock                                      /games/boxart/full_5948706AmericaFrontccc.jpg                         2K Games                                N/A               N/A             N/A           41.00m           21st Aug 07     08th Feb 20    Shooter
Street Fighter                                /games/boxart/full_1218886AmericaFrontccc.png                         Capcom                                  N/A               N/A             N/A           49.00m           30th Aug 87     03rd Feb 20    Fighting
Kirby                                         /games/boxart/full_413263AmericaFrontccc.jpg                          Nintendo                                N/A               N/A             N/A           47.38m           01st Aug 92     22nd Feb 20    Platform
The Walking Dead: Telltale Games Series       /games/boxart/full_6321657AmericaFrontccc.jpg                         Telltale Games                          N/A               N/A             N/A           50.00m           24th Apr 12     12th Jan 21    Adventure
Red Dead Redemption 2                         /games/boxart/full_5942658AmericaFrontccc.jpg                         Rockstar Games                          N/A               N/A             N/A           50.00m           26th Oct 18     08th Oct 20    Action-Adventure
Crash Bandicoot                               /games/boxart/full_2715474AmericaFrontccc.jpg                         Sony Interactive Entertainment          N/A               N/A             N/A           50.00m           09th Sep 96     02nd Mar 20    Platform
Bejeweled                                     /games/boxart/full_8660779AmericaFrontccc.jpg                         PopCap Games                            N/A               N/A             N/A           50.00m           30th May 01     25th Feb 20    Puzzle
Warriors                                      /games/boxart/full_3351915AmericaFrontccc.jpg                         KOEI                                    N/A               N/A             N/A           49.95m           30th Jun 97     24th Mar 20    Action
Mario Kart 8 Deluxe                           /games/boxart/full_895207AmericaFrontccc.png                          Nintendo                                N/A               9.3             N/A           52.00m           28th Apr 17     19th Nov 18    Racing
Gears of War                                  /games/boxart/full_5448686AmericaFrontccc.jpg                         Microsoft Game Studios                  N/A               N/A             N/A           41.00m           07th Nov 06     11th Mar 20    Shooter
Tekken                                        /games/boxart/full_7174839AmericaFrontccc.jpg                         Namco                                   N/A               N/A             N/A           54.50m           11th Dec 94     21st Feb 20    Fighting
Harry Potter/Wizarding World                  /games/boxart/full_5665526AmericaFrontccc.jpg                         Electronic Arts                         N/A               N/A             N/A           54.70m           15th Nov 01     23rd Feb 23    Action-Adventure
Far Cry                                       /games/boxart/full_8519936AmericaFrontccc.jpg                         Ubisoft                                 N/A               N/A             N/A           52.50m           23rd Mar 04     11th Feb 20    Shooter
Lego Star Wars                                /games/boxart/full_1707AmericaFrontccc.jpg                            Warner Bros. Interactive Entertainment  N/A               N/A             N/A           53.20m           29th Mar 05     02nd Mar 20    Action-Adventure
PUBG                                          /games/boxart/full_6424393AmericaFrontccc.jpg                         PUBG Corporation                        N/A               N/A             N/A           75.00m           20th Dec 17     16th Mar 20    Shooter
Animal Crossing                               /games/boxart/full_5995252AmericaFrontccc.jpg                         Nintendo                                N/A               N/A             N/A           76.46m           16th Sep 02     20th Feb 20    Simulation
Super Smash Bros.                             /games/boxart/full_8522156AmericaFrontccc.jpg                         Nintendo                                N/A               N/A             N/A           71.73m           26th Apr 99     20th Feb 20    Fighting
Battlefield                                   /games/boxart/full_9618625AmericaFrontccc.jpg                         Electronic Arts                         N/A               N/A             N/A           78.90m           10th Sep 02     23rd Feb 20    Shooter
Worms                                         /games/boxart/full_1866696AmericaFrontccc.jpg                         Team17                                  N/A               N/A             N/A           75.00m           31st Oct 95     26th Jan 21    Strategy
Halo                                          /games/boxart/full_62059AmericaFrontccc.png                           Microsoft Game Studios                  N/A               N/A             N/A           81.00m           15th Nov 01     03rd Feb 20    Shooter
Wii Sports                                    /games/boxart/full_2258645AmericaFrontccc.jpg                         Nintendo                                N/A               7.7             N/A           82.90m           19th Nov 06     N/A            Sports
Dragon Quest                                  /games/boxart/full_126001AmericaFrontccc.jpg                          Square                                  N/A               N/A             N/A           85.00m           27th May 86     27th Feb 20    Role-Playing
Gran Turismo                                  /games/boxart/full_6787813AmericaFrontccc.jpg                         Sony Interactive Entertainment          N/A               N/A             N/A           90.00m           12th May 98     05th Feb 20    Racing
Mortal Kombat                                 /games/boxart/full_8466695AmericaFrontccc.jpg                         Warner Bros. Interactive Entertainment  N/A               N/A             N/A           79.00m           08th Oct 92     01st Mar 20    Fighting
Sonic the Hedgehog                            /games/boxart/full_6967040AmericaFrontccc.jpg                         Sega                                    N/A               N/A             N/A           95.51m           23rd Jun 91     07th Feb 20    Platform
Borderlands                                   /games/boxart/full_7357112AmericaFrontccc.jpg                         2K Games                                N/A               N/A             N/A           78.00m           20th Oct 09     05th Feb 20    Shooter
Monster Hunter                                /games/boxart/full_7532562AmericaFrontccc.jpg                         Capcom                                  N/A               N/A             N/A           90.30m           21st Sep 04     03rd Feb 20    Role-Playing
Pro Evolution Soccer/eFootball                /games/boxart/full_6172577AmericaFrontccc.jpg                         Konami                                  N/A               N/A             N/A           112.50m          22nd Dec 95     07th Feb 22    Sports
Madden NFL                                    /games/boxart/full_9120390AmericaFrontccc.jpg                         Electronic Arts                         N/A               N/A             N/A           130.00m          01st Jun 88     25th Feb 20    Sports
NBA 2K                                        /games/boxart/full_342983AmericaFrontccc.jpg                          2K Games                                N/A               N/A             N/A           130.00m          10th Nov 99     16th Feb 20    Sports
Wii/Nintendo Sports                           /games/boxart/full_9519107AmericaFrontccc.jpg                         Nintendo                                N/A               N/A             N/A           124.65m          19th Nov 06     07th Feb 23    Sports
Tomb Raider                                   /games/boxart/full_4657184AmericaFrontccc.jpg                         Eidos Interactive                       N/A               N/A             N/A           141.00m          14th Nov 96     27th Feb 20    Action-Adventure
Need for Speed                                /games/boxart/full_3250466AmericaFrontccc.jpg                         Electronic Arts                         N/A               N/A             N/A           150.00m          31st Aug 94     24th Feb 20    Racing
The Legend of Zelda                           /games/boxart/full_1095110AmericaFrontccc.jpg                         Nintendo                                N/A               N/A             N/A           125.31m          14th Jul 87     03rd Feb 20    Action-Adventure
Final Fantasy                                 /games/boxart/full_6200477AmericaFrontccc.jpg                         Square                                  N/A               N/A             N/A           173.20m          18th Dec 87     28th Feb 20    Role-Playing
Grand Theft Auto V                            /games/boxart/full_5096432AmericaFrontccc.png                         Rockstar Games                          N/A               N/A             N/A           175.00m          17th Sep 13     08th Oct 20    Action-Adventure
The Sims                                      /games/boxart/full_1356677AmericaFrontccc.jpg                         Electronic Arts                         N/A               N/A             N/A           200.00m          04th Feb 00     18th Feb 20    Simulation
Mario Kart                                    /games/boxart/full_4399408AmericaFrontccc.jpg                         Nintendo                                N/A               N/A             N/A           173.41m          01st Sep 92     20th Feb 20    Racing
Assassin's Creed                              /games/boxart/full_9916295AmericaFrontccc.jpg                         Ubisoft                                 N/A               N/A             N/A           200.00m          13th Nov 07     11th Feb 20    Action-Adventure
Minecraft                                     /games/boxart/full_3450397AmericaFrontccc.png                         Mojang                                  N/A               N/A             N/A           238.00m          18th Nov 11     08th Oct 20    Action-Adventure
Minecraft                                     /games/boxart/full_5967679AmericaFrontccc.jpg                         Mojang                                  N/A               N/A             N/A           238.00m          18th Nov 11     08th Feb 20    Sandbox
FIFA                                          /games/boxart/full_4446063AmericaFrontccc.jpg                         EA Sports                               N/A               N/A             N/A           325.00m          15th Dec 93     03rd Feb 20    Sports
Resident Evil                                 /games/boxart/full_3812017AmericaFrontccc.png                         Capcom                                  N/A               N/A             N/A           139.00m          30th Mar 96     03rd Feb 20    Action-Adventure
Lego                                          /games/boxart/full_6011385AmericaFrontccc.jpg                         Warner Bros. Interactive Entertainment  N/A               N/A             N/A           203.22m          26th Sep 97     01st Mar 20    Action-Adventure
Call of Duty                                  /games/boxart/full_9594883AmericaFrontccc.png                         Activision                              N/A               N/A             N/A           400.00m          29th Oct 03     03rd Feb 20    Shooter
Pokemon                                       /games/boxart/full_4261443AmericaFrontccc.jpg                         Nintendo                                N/A               N/A             N/A           464.84m          28th Sep 98     03rd Feb 20    Role-Playing
Super Mario                                   /games/boxart/full_4441628AmericaFrontccc.jpg                         Nintendo                                N/A               N/A             N/A           398.51m          20th Jul 83     20th Feb 20    Platform
Grand Theft Auto                              /games/boxart/full_7292379AmericaFrontccc.jpg                         Rockstar Games                          N/A               N/A             N/A           395.00m          27th Mar 98     03rd Feb 20    Action-Adventure
