Game Title                                    Console                                                               Publisher                               VGChartz Score    Critic Score    User Score    Total Shipped    Release Date    Last Update    genre
Lego Batman: The Videogame                    /games/boxart/full_4813989AmericaFrontccc.jpg                         Warner Bros. Interactive Entertainment  N/A               N/A             N/A           11.00m           23rd Sep 08     20th Jul 21    Action-Adventure
Sniper: Ghost Warrior                         /games/boxart/full_5128267AmericaFrontccc.jpg                         City Interactive                        N/A               N/A             N/A           11.00m           16th Oct 08     11th Jan 21    Shooter
God of War: Ragnarök                          /games/boxart/full_7818120AmericaFrontccc.jpg                         Sony Interactive Entertainment          N/A               N/A             N/A           11.00m           09th Nov 22     23rd Nov 22    Action
NBA 2K21                                      /games/boxart/full_4635724AmericaFrontccc.jpg                         2K Sports                               N/A               N/A             N/A           11.00m           04th Sep 20     06th Nov 20    Sports
Need for Speed: ProStreet                     /games/boxart/full_3731913AmericaFrontccc.png                         Electronic Arts                         N/A               N/A             N/A           10.90m           14th Nov 07     20th Oct 20    Racing
Mortal Kombat X                               /games/boxart/full_746906AmericaFrontccc.png                          Warner Bros. Interactive Entertainment  N/A               N/A             N/A           11.00m           07th Apr 15     28th Oct 20    Fighting
Civilization VI                               /games/boxart/full_6705692AmericaFrontccc.jpg                         2K Games                                N/A               N/A             N/A           11.00m           21st Oct 16     31st Oct 20    Strategy
Need for Speed: Underground 2                 /games/boxart/full_6673252AmericaFrontccc.jpg                         Electronic Arts                         N/A               N/A             N/A           11.00m           09th Nov 04     20th Oct 20    Racing
BioShock Infinite                             /games/boxart/full_8443313AmericaFrontccc.jpg                         2K Games                                N/A               N/A             N/A           11.00m           26th Mar 13     03rd Nov 20    Shooter
Tomb Raider (2013)                            /games/boxart/full_8364295AmericaFrontccc.jpg                         Square Enix                             N/A               N/A             N/A           11.00m           05th Mar 13     26th Oct 20    Action-Adventure
Fall Guys: Ultimate Knockout                  /games/boxart/full_8313517AmericaFrontccc.jpg                         Devolver Digital                        N/A               N/A             N/A           11.00m           04th Aug 20     14th Jul 20    Party
Dance Dance Revolution                        /games/boxart/full_4716120AmericaFrontccc.jpg                         Konami                                  N/A               N/A             N/A           11.00m           26th Sep 98     03rd Mar 20    Music
Super Mario 64 DS                             /games/boxart/full_1719347AmericaFrontccc.jpg                         Nintendo                                N/A               8.6             N/A           11.06m           20th Nov 04     N/A            Platform
Big Brain Academy                             /games/boxart/full_1612733AmericaFrontccc.jpg                         Nintendo                                N/A               N/A             N/A           11.08m           05th Jun 06     23rd Mar 20    Puzzle
StarCraft                                     /games/boxart/3959329ccc.jpg                                          Blizzard Entertainment                  N/A               8.7             N/A           11.00m           01st Apr 98     23rd Nov 18    Strategy
Grand Theft Auto IV                           /games/boxart/full_1182151AmericaFrontccc.jpg                         Rockstar Games                          9.0               10.0            N/A           N/A              29th Apr 08     N/A            Action
Wii Party                                     /games/boxart/full_8637938AmericaFrontccc.jpg                         Nintendo                                N/A               N/A             N/A           11.14m           03rd Oct 10     19th Feb 20    Party
Dragon Age                                    /games/boxart/full_788912AmericaFrontccc.jpg                          Electronic Arts                         N/A               N/A             N/A           11.20m           03rd Nov 09     31st Dec 20    Role-Playing
